plate_id,well,well_id,image_id,cell_line,condition,integrated_int_DAPI_norm,intensity_mean_EdU_nucleus_norm,cell_cycle_detailed,cell_cycle,label,area_nucleus,intensity_max_DAPI_nucleus,intensity_min_DAPI_nucleus,intensity_mean_DAPI_nucleus,centroid-0,centroid-1,integrated_int_DAPI,intensity_max_H2AX_nucleus,intensity_min_H2AX_nucleus,intensity_mean_H2AX_nucleus,intensity_max_p21_nucleus,intensity_min_p21_nucleus,intensity_mean_p21_nucleus,intensity_max_EdU_nucleus,intensity_min_EdU_nucleus,intensity_mean_EdU_nucleus
1759,B1,29669,822590,RPE-1,NT,3.375056807,1.853455545,G2/M,G2/M,8,202,6767.582796,2542.970187,4856.112509,19.91089109,252.2227723,980934.7268,9241.786107,5403.11317,7378.701837,7769.686951,4624.803085,6079.253931,718.7946395,393.3045107,136.8196886
1759,B1,29669,822590,RPE-1,NT,1.815751588,1.402922808,G1,G1,9,96,7291.986614,2640.918822,5497.23398,14.95833333,534.5833333,527734.4621,13445.61403,5018.883895,6474.002461,4957.171514,4276.988808,4640.63058,652.895877,354.5830721,103.5619453
1759,B1,29669,822590,RPE-1,NT,1.68739698,1.350448953,G1,G1,10,135,5349.531724,2035.731784,3632.808638,17.99259259,323.0296296,490429.1661,5614.591021,4617.616697,5105.123318,4804.755005,4038.469233,4413.306399,542.013229,347.6727498,99.68839329
1759,B1,29669,822590,RPE-1,NT,1.550640936,1.542069197,G1,G1,11,89,6606.892488,2528.814536,5063.843332,16.82022472,486.2696629,450682.0565,8773.761802,4668.623592,5450.644205,4897.672867,4278.715733,4611.415671,509.6040862,306.2578941,113.8335516
1759,B1,29669,822590,RPE-1,NT,3.352989475,1.304256265,G2/M,G2/M,12,162,8161.47733,2944.657325,6015.561875,18.90740741,274.2962963,974521.0238,7764.850037,5014.208358,6100.900468,5182.097672,4377.74468,4790.396597,617.1265385,369.3981984,96.27850884
1759,B1,29669,822590,RPE-1,NT,2.125713033,25.20845285,Early S,S,13,172,4699.634899,2110.655484,3591.990761,20.96511628,636.9883721,617822.411,6801.311347,4968.199453,5872.3427,4814.921435,4153.276103,4489.406519,3881.458716,681.2125607,1860.855352
1759,B1,29669,822590,RPE-1,NT,3.454071531,36.74284521,Late S,S,14,167,8762.123338,2798.628722,6011.375801,18.94610778,949.4670659,1003899.759,9336.871086,5438.462449,6970.558825,5393.452379,4318.780005,4763.860604,7804.333169,1015.632914,2712.309262
1759,B1,29669,822590,RPE-1,NT,2.119370647,29.25585932,Early S,S,15,167,4866.262547,2079.737433,3688.497272,26.44311377,929.6586826,615979.0445,9625.535191,5161.99128,6311.862438,5225.940064,4357.220412,4738.482788,4971.620737,966.8519072,2159.629657
1759,B1,29669,822590,RPE-1,NT,3.54060399,1.393891102,G2/M,G2/M,16,210,7103.260983,2524.543167,4900.236968,24.68571429,191.5619048,1029049.763,9073.998144,5483.506734,6457.584432,5873.061501,4439.308522,4908.605118,629.8527276,380.020753,102.8952364
1759,B1,29669,822590,RPE-1,NT,1.813188917,18.70096823,Early S,S,17,109,6744.403977,2680.779571,4834.767349,26.20183486,540.6146789,526989.6411,6324.166894,4937.046982,5653.380392,4800.841854,4226.729461,4527.701573,3503.952078,532.2563438,1380.481263
1759,B1,29669,822590,RPE-1,NT,2.078604444,47.84834514,Early S,S,18,134,6125.918786,2563.436794,4508.43773,29.1119403,150.0149254,604130.6559,8435.403246,5539.276152,7013.253721,5502.211247,4560.84525,5029.358293,8776.649189,1996.164599,3532.102889
1759,B1,29669,822590,RPE-1,NT,1.85598798,1.505235543,G1,G1,19,131,5732.174454,2083.213173,4117.777594,29.90076336,896.0381679,539428.8648,6189.229462,4859.448665,5596.626043,4943.29028,4347.428636,4619.596427,554.1011494,316.066504,111.114539
1759,B1,29669,822590,RPE-1,NT,2.380929688,58.6449675,Early S,S,20,137,6833.32478,2636.20155,5051.089058,33.79562044,830.3941606,691999.201,10407.41125,5508.862484,7378.737908,5333.280738,4409.443898,4802.722746,9392.854972,1320.06215,4329.095573
1759,B1,29669,822590,RPE-1,NT,3.574831859,1.255322326,G2/M,G2/M,21,233,6274.225949,1977.340123,4459.218173,36.30042918,395.8540773,1038997.834,7423.837415,5120.61196,5938.704419,4975.760631,4223.397922,4648.254268,548.6874833,341.1375841,92.66626886
1759,B1,29669,822590,RPE-1,NT,2.377149383,44.02431216,Early S,S,22,151,6281.882844,2360.139961,4575.499892,36.13907285,570.4039735,690900.4837,7554.555344,5179.68234,6628.568132,5108.762137,4300.311383,4700.509172,7029.242576,1183.895526,3249.817725
1759,B1,29669,822590,RPE-1,NT,2.397616287,25.16486103,Early S,S,23,142,6315.724523,2970.390054,4907.387569,36.45070423,488.4577465,696849.0347,7225.021543,4976.525256,6335.306416,4975.105563,4359.877373,4672.131198,5301.644445,1961.020896,1857.63746
1759,B1,29669,822590,RPE-1,NT,7.471396416,1.025645787,Polyploid (non-replicating),Polyploid,24,296,10973.04362,2891.405314,7336.165012,38.43581081,691.1452703,2171504.843,8380.88675,5188.77645,6314.561787,5168.711862,4344.125236,4761.43676,512.6151806,361.7975756,75.7118441
1759,B1,29669,822590,RPE-1,NT,3.623338252,1.462444376,G2/M,G2/M,25,171,10102.74957,3143.965676,6158.455266,37.89473684,1047.900585,1053095.85,7455.951313,4812.041997,5792.711386,5198.269454,4269.995912,4692.190818,589.2684848,354.9171437,107.9557504
1759,B1,29669,822590,RPE-1,NT,2.097013333,1.412737759,G1,G1,26,161,5653.391377,2195.160336,3785.596648,41.13664596,769.7267081,609481.0604,10317.95291,4933.975501,5838.377411,5339.695417,4482.51201,4943.075643,555.6531971,337.2192451,104.2864723
1759,B1,29669,822590,RPE-1,NT,2.783588852,22.83602099,Early S,S,27,135,8373.850099,2911.342311,5992.807707,43.33333333,98.03703704,809029.0404,7762.536676,5496.296153,6689.269247,5465.317636,4623.080423,5063.888183,5006.83513,1073.11422,1685.725503
1759,B1,29669,822590,RPE-1,NT,1.811089002,1.017823135,G1,G1,28,108,7077.222604,2271.286355,4873.882563,43.63888889,470.2037037,526379.3168,5762.370528,4926.875489,5377.408646,5654.671785,4368.826945,5071.93086,545.176858,362.9454294,75.13438603
1759,B1,29669,822590,RPE-1,NT,3.287676035,43.41847938,Late S,S,29,152,8762.037482,3120.482358,6286.435307,44.09210526,193.2565789,955538.1666,9967.510468,6520.541874,8280.464252,6723.768739,4629.217219,5432.863841,9763.127986,1520.823943,3205.095934
1759,B1,29669,822590,RPE-1,NT,1.835976324,1.188856959,G1,G1,30,139,5194.743803,1967.05089,3838.939773,45.1942446,446.7841727,533612.6284,5830.794454,4677.707489,5168.332318,5253.46502,4370.765844,4794.108659,507.7090773,342.0308252,87.75988148
1759,B1,29669,822590,RPE-1,NT,3.570939712,1.508771747,G2/M,G2/M,31,150,9448.392544,3399.882381,6919.110743,58.21333333,460.22,1037866.611,9537.187571,5336.099794,6806.708901,5269.084848,4460.172974,4891.561856,531.086008,334.5610775,111.3755769
1759,B1,29669,822590,RPE-1,NT,2.202009651,13.97246116,Early S,S,32,146,5640.631171,2345.103937,4383.544149,56.69863014,271.7671233,639997.4458,10212.31595,5517.589248,7300.385597,8338.783145,4664.06364,5798.745716,2630.86609,856.0616545,1031.428993
1759,B1,29669,822590,RPE-1,NT,3.597658241,1.390984801,G2/M,G2/M,33,167,8886.874004,2568.474328,6261.270358,60.33532934,1043.347305,1045632.15,8256.259627,5187.733928,5846.894895,5113.950468,4343.32949,4707.784975,536.9858036,349.6285993,102.6806971
1759,B1,29669,822590,RPE-1,NT,1.789699904,0.871730347,G1,G1,34,118,6080.081044,2484.489062,4408.15879,62.15254237,512.2542373,520162.7372,9147.302876,4576.395799,5229.277907,5867.131318,4623.401195,5332.649382,478.4713797,356.1487045,64.35000557
1759,B1,29669,822590,RPE-1,NT,2.128991688,13.11799385,Early S,S,35,164,4992.955476,2068.306858,3773.020288,68.30487805,151.4390244,618775.3272,11402.70779,5899.155982,8856.578441,5214.933928,4470.695726,4827.70144,2723.147049,660.1214078,968.3533219
1759,A1,29650,822191,RPE-1,NT,1.871713595,1.072948037,G1,G1,237,102,8070.531003,2515.369816,5333.32741,672.6960784,304.754902,543999.3958,6254.283947,4008.806872,4580.809488,4670.763621,3833.851407,4248.392976,462.5246939,308.8107308,79.20363495
1759,A1,29650,822191,RPE-1,NT,1.765774256,0.833572294,G1,G1,238,119,6026.139773,2361.051929,4312.680071,675.4117647,391.1848739,513208.9284,6985.733993,3919.526154,4300.525637,4316.610601,3620.414944,4060.67047,453.6288342,317.7350444,61.5332275
1759,A1,29650,822191,RPE-1,NT,1.846310939,0.972555173,G1,G1,239,101,7233.469963,3112.720298,5313.032734,682.2970297,311.2574257,536616.3061,6191.952865,4495.634671,5089.920424,4323.271154,3799.17642,4049.783902,435.2092258,315.0550007,71.79276369
1759,A1,29650,822191,RPE-1,NT,2.481579067,1.048119366,G1,G1,240,121,10347.39666,2872.905284,5960.76183,683.4876033,476.6033058,721252.1815,29144.34286,11664.64525,19470.4747,4291.259635,3671.784483,3988.70655,499.9482954,324.7632165,77.37081463
1759,A1,29650,822191,RPE-1,NT,2.526020403,60.11138391,Early S,S,241,148,6895.771219,2491.876879,4960.599457,692.277027,261.6486486,734168.7196,6789.002482,4276.319415,5419.910762,4638.495712,3909.912254,4286.90746,10285.35393,1499.377121,4437.344534
1759,A1,29650,822191,RPE-1,NT,3.653486903,0.963088772,G2/M,G2/M,242,205,7809.395425,2455.915744,5179.796721,699.3414634,474.4487805,1061858.328,19408.79746,4342.388508,5807.532928,4436.998081,3849.169528,4148.565103,471.8178028,319.872868,71.09396622
1759,A1,29650,822191,RPE-1,NT,1.926674815,1.458612668,G1,G1,243,141,5424.946513,2186.351021,3971.44297,697.1843972,274.5319149,559973.4588,6263.708208,3859.796138,4421.387548,4429.037711,3826.261801,4156.339119,1541.824502,333.5131563,107.6728987
1759,A1,29650,822191,RPE-1,NT,2.540191864,27.4345974,Early S,S,244,214,4908.389706,1811.512962,3449.94181,697.8504673,679.2570093,738287.5474,12204.49394,4639.617655,7231.784867,4355.641912,3748.546783,4063.523547,6162.505886,1958.868616,2025.18646
1759,A1,29650,822191,RPE-1,NT,1.784190059,1.237756337,G1,G1,245,91,8254.143193,2816.022534,5698.47629,697.8681319,318.7582418,518561.3424,7531.564177,4499.949508,5394.722632,4363.03584,3766.163133,4086.976507,481.1497904,303.1007194,91.36957028
1759,A1,29650,822191,RPE-1,NT,1.709497761,1.116916524,G1,G1,246,112,5957.959718,2233.181516,4436.183849,705.0714286,385.0535714,496852.5911,4863.054041,3930.076583,4365.069329,4721.540739,3893.435798,4218.77055,448.8907714,289.124553,82.44933171
1759,A1,29650,822191,RPE-1,NT,1.617827213,0.664345501,G1,G1,247,78,9621.371899,2845.681538,6028.323585,710.1153846,417.474359,470209.2397,13065.74058,4721.089523,6613.580516,4553.275684,3764.910837,4178.18898,442.2638674,335.8490169,49.04112472
1759,A1,29650,822191,RPE-1,NT,1.931381997,35.56017256,Early S,S,248,148,5214.561392,1727.187813,3792.848415,730.2702703,594.3986486,561341.5654,8916.566481,4520.875589,5803.837146,4374.457108,3781.381922,4082.070448,6120.903564,1452.398373,2625.005898
1759,A1,29650,822191,RPE-1,NT,3.462288761,45.00326698,Late S,S,249,178,7528.358005,2427.443387,5653.303563,739.8314607,281.3988764,1006288.034,6295.01332,4407.36854,5164.806989,4445.634919,3829.374465,4148.624471,9393.707507,1380.514409,3322.082902
1759,A1,29650,822191,RPE-1,NT,1.696568518,0.882430986,G1,G1,250,118,5942.602897,2498.5724,4178.769529,742.5423729,193.9067797,493094.8045,5190.838475,4431.060258,4792.157254,4728.452674,4142.339755,4435.48506,477.2875918,348.0328933,65.13991291
1759,A1,29650,822191,RPE-1,NT,1.63293641,0.897964511,G1,G1,251,105,7053.334106,1796.870805,4520.005844,747.5619048,521.4666667,474600.6136,4988.470558,3927.534752,4447.658468,4528.256232,3763.102745,4133.790362,444.1316235,311.8799219,66.28657759
1759,A1,29650,822191,RPE-1,NT,1.680404168,0.884106286,G1,G1,252,104,6679.576166,2088.424677,4696.122676,754.4230769,688.4038462,488396.7583,4862.697697,4046.892999,4420.438727,4526.008468,3905.146855,4213.176767,439.5516953,319.324316,65.26358138
1759,A1,29650,822191,RPE-1,NT,1.764611246,1.304116989,G1,G1,253,112,6822.868385,2176.938611,4579.204539,758.5625,706.1428571,512870.9084,5315.517501,4011.090086,4335.472388,4344.368972,3754.771281,4064.19407,438.8858003,282.7545164,96.26822766
1759,A1,29650,822191,RPE-1,NT,1.758794149,1.331847429,G1,G1,254,110,7629.961831,1800.418799,4647.092847,762.6909091,423.7818182,511180.2132,8119.935743,4231.284078,5393.924579,4239.910113,3758.231474,4004.141325,466.521536,298.673288,98.31525284
1759,A1,29650,822191,RPE-1,NT,2.791268243,65.61454866,Early S,S,255,156,7488.166008,2520.899207,5200.39101,768.4102564,237.8461538,811260.9975,6373.367529,4385.25215,5217.136785,4705.089856,3949.483799,4286.15764,11639.93306,1818.243657,4843.58103
1759,A1,29650,822191,RPE-1,NT,1.910202406,2.891164566,G1,G1,256,107,7453.821875,2415.278915,5188.653063,772.7383178,387.7383178,555185.8778,5556.291477,4216.045717,4548.977527,4626.051129,3934.744463,4310.554876,2356.253701,343.3597967,213.422025
1759,A1,29650,822191,RPE-1,NT,3.880459264,23.57615994,Late S,S,257,212,8525.587808,2108.174816,5319.934564,774.509434,280.2830189,1127826.128,7331.632124,4409.9436,5581.76267,4671.078539,3778.99554,4205.64616,7071.810803,487.3944668,1740.361602
1759,A1,29650,822191,RPE-1,NT,3.688995818,0.998611168,G2/M,G2/M,258,243,6151.60283,1949.084347,4412.258129,777.0740741,560.6831276,1072178.725,5399.150051,4046.931027,4406.818864,4139.377405,3559.699024,3890.036679,454.8872696,310.5389557,73.71618351
1759,A1,29650,822191,RPE-1,NT,1.883253168,0.944993403,G1,G1,259,122,6023.1304,2230.705539,4486.50234,772.2704918,366.6065574,547353.2855,5041.304328,3971.714581,4425.514554,4257.784442,3743.16416,3999.049719,449.6691009,322.705592,69.75818953
1759,A1,29650,822191,RPE-1,NT,2.491431472,62.7118972,Early S,S,260,151,6833.319284,2394.380658,4795.468267,778.4437086,396.3377483,724115.7083,7302.586011,4410.359696,5851.709271,4532.803738,3838.63317,4241.545791,9205.488685,1415.002416,4629.311058
1759,A1,29650,822191,RPE-1,NT,3.568868607,0.972678609,G2/M,G2/M,261,172,8935.613084,2840.951894,6030.60849,778.0755814,451.7209302,1037264.66,9346.495663,4806.342652,6821.12608,4383.143796,3797.272595,4079.63848,475.2437308,327.4435676,71.80187557
1759,A1,29650,822191,RPE-1,NT,2.882200165,80.46827204,Early S,S,262,121,10863.02359,2852.857272,6923.055145,779.9421488,188.7272727,837689.6726,7681.359959,5012.032237,6339.032632,5403.897934,4459.251419,4957.738069,13881.58213,2106.140884,5940.063659
1759,A1,29650,822191,RPE-1,NT,3.607483711,1.417261422,G2/M,G2/M,263,168,9077.087245,2706.271138,6240.999096,794.5833333,681.1309524,1048487.848,7989.099929,4218.385838,5057.093535,4168.522113,3749.428727,3966.189903,512.7084975,297.366516,104.6204032
1759,A1,29650,822191,RPE-1,NT,2.48741435,88.85802747,Early S,S,264,122,9133.271293,2492.685784,5925.80461,799.9180328,308.5,722948.1624,9200.247609,4654.355454,5936.035412,4910.04223,3967.917819,4378.651203,13564.62129,1523.379787,6559.384543
1759,A1,29650,822191,RPE-1,NT,3.002214963,67.59817022,Late S,S,265,187,6947.447316,2358.51655,4666.155432,805.3368984,398.5828877,872571.0657,9610.268196,4575.561896,5763.187732,4708.626461,3877.107929,4299.976391,12737.66259,1524.192375,4990.009406
1759,A1,29650,822191,RPE-1,NT,1.862933408,0.992270463,G1,G1,266,139,5197.505637,2055.942778,3895.305763,806.3165468,536.6906475,541447.501,4985.355441,3996.325672,4363.277409,4412.074923,3832.115657,4146.791082,453.4611701,306.3727749,73.2481209
1759,A1,29650,822191,RPE-1,NT,3.698076402,20.97576605,Late S,S,267,237,6936.030568,2166.356822,4535.096744,808.092827,724.9578059,1074817.928,10273.85153,4088.285442,5091.405657,4357.658402,3740.693101,4037.755052,5629.983125,567.5424225,1548.403893
1759,A1,29650,822191,RPE-1,NT,1.832424731,0.952851417,G1,G1,268,110,8263.311181,2015.645878,4841.639862,810.9818182,689.1363636,532580.3849,13409.11435,4097.497158,5331.818055,5001.772848,4070.542132,4582.448746,465.2765805,315.0061047,70.33825791
